Newton's Method >>>>>>>>>>>>>
j; 1000; i; -5.700000000000001; temp; -5.700000000000001; !!!FAIL
j; 1000; i; -5.600000000000001; temp; -5.600000000000001; !!!FAIL
j; 1000; i; -5.500000000000002; temp; -5.500000000000002; !!!FAIL
j; 1000; i; -5.400000000000002; temp; -5.400000000000002; !!!FAIL
j; 1000; i; -5.3000000000000025; temp; -5.3000000000000025; !!!FAIL
j; 1000; i; -5.200000000000003; temp; -5.200000000000003; !!!FAIL
j; 1000; i; -5.100000000000003; temp; -5.100000000000003; !!!FAIL
j; 1000; i; -5.0000000000000036; temp; -5.0000000000000036; !!!FAIL
j; 1000; i; -4.9; temp; -4.9; !!!FAIL
j; 1000; i; -4.800000000000001; temp; -4.800000000000001; !!!FAIL
j; 1000; i; -4.700000000000001; temp; -4.700000000000001; !!!FAIL
j; 1000; i; -4.600000000000001; temp; -4.600000000000001; !!!FAIL
j; 1000; i; -4.500000000000002; temp; 155.28848600510273; !!!FAIL
j; 1000; i; -4.400000000000002; temp; 26.71190981865764; !!!FAIL
j; 1000; i; -4.3000000000000025; temp; 12.969556430384953; !!!FAIL
j; 85; i; -4.200000000000003; temp; 8.862512544371738; OK
j; 1000; i; -4.100000000000003; temp; 10.59178341316407; !!!FAIL
j; 1000; i; -4.0000000000000036; temp; 3.3971078976641165; !!!FAIL
j; 1000; i; -3.9; temp; 2.3039117277938472; !!!FAIL
j; 1000; i; -3.8; temp; 1.5351863736492453; !!!FAIL
j; 1000; i; -3.6999999999999997; temp; 0.9727527645034963; !!!FAIL
j; 1000; i; -3.5999999999999996; temp; 0.5495843247848153; !!!FAIL
j; 1000; i; -3.4999999999999996; temp; 0.5036997328770556; !!!FAIL
j; 1000; i; -3.3999999999999995; temp; -0.027820632031117842; !!!FAIL
j; 1000; i; -3.2999999999999994; temp; -0.22609251576527978; !!!FAIL
j; 1000; i; -3.1999999999999993; temp; -0.2500751175086202; !!!FAIL
j; 1000; i; -3.099999999999999; temp; -0.25007518520025385; !!!FAIL
j; 1000; i; -2.999999999999999; temp; -0.2500751141597439; !!!FAIL
j; 1000; i; -2.9; temp; -0.2500750646993223; !!!FAIL
j; 1000; i; -2.8; temp; -0.25007517958904624; !!!FAIL
j; 1000; i; -2.6999999999999997; temp; -0.2500752016442791; !!!FAIL
j; 1000; i; -2.5999999999999996; temp; -0.25007520123882393; !!!FAIL
j; 1000; i; -2.4999999999999996; temp; -0.2500752008549426; !!!FAIL
j; 1000; i; -2.3999999999999995; temp; -0.2500752006019657; !!!FAIL
j; 1000; i; -2.2999999999999994; temp; -0.250075200532036; !!!FAIL
j; 1000; i; -2.1999999999999993; temp; -0.25007520063895866; !!!FAIL
j; 1000; i; -2.099999999999999; temp; -0.25007520087549323; !!!FAIL
j; 1000; i; -1.9999999999999991; temp; -0.2500752011760095; !!!FAIL
j; 1000; i; -1.975; temp; -0.2500752012533854; !!!FAIL
j; 1000; i; -1.9500000000000002; temp; -0.25007520132980887; !!!FAIL
j; 1000; i; -1.9250000000000003; temp; -0.25007520140447576; !!!FAIL
j; 1000; i; -1.9000000000000004; temp; -0.25007520147666396; !!!FAIL
j; 1000; i; -1.8750000000000004; temp; -0.250075201545739; !!!FAIL
j; 1000; i; -1.8500000000000005; temp; -0.25007520161115754; !!!FAIL
j; 1000; i; -1.8250000000000006; temp; -0.250075201672469; !!!FAIL
j; 1000; i; -1.8000000000000007; temp; -0.25007520172931585; !!!FAIL
j; 1000; i; -1.7750000000000008; temp; -0.25007520178143233; !!!FAIL
j; 1000; i; -1.7500000000000009; temp; -0.25007520182864146; !!!FAIL
j; 1000; i; -1.725000000000001; temp; -0.250075201870851; !!!FAIL
j; 1000; i; -1.700000000000001; temp; -0.2500752019080486; !!!FAIL
j; 1000; i; -1.6750000000000012; temp; -0.25007517923827643; !!!FAIL
j; 1000; i; -1.6500000000000012; temp; -0.25007514930682745; !!!FAIL
j; 1000; i; -1.6250000000000013; temp; -0.2500751244378588; !!!FAIL
j; 1000; i; -1.6000000000000014; temp; -0.2500751043704777; !!!FAIL
j; 1000; i; -1.5750000000000015; temp; -0.2500750887974337; !!!FAIL
j; 1000; i; -1.5500000000000016; temp; -0.25007507737429757; !!!FAIL
j; 1000; i; -1.5250000000000017; temp; -0.2500750697285991; !!!FAIL
j; 1000; i; -1.5000000000000018; temp; -0.250075065468761; !!!FAIL
j; 1000; i; -1.4750000000000019; temp; -0.25007506419267933; !!!FAIL
j; 1000; i; -1.450000000000002; temp; -0.2500750654958109; !!!FAIL
j; 1000; i; -1.425000000000002; temp; -0.2500750689786444; !!!FAIL
j; 1000; i; -1.4000000000000021; temp; -0.25007507425345105; !!!FAIL
j; 1000; i; -1.3750000000000022; temp; -0.2500750809502265; !!!FAIL
j; 1000; i; -1.3500000000000023; temp; -0.25007508872175854; !!!FAIL
j; 1000; i; -1.3250000000000024; temp; -0.2500750972477766; !!!FAIL
j; 1000; i; -1.3000000000000025; temp; -0.2500751062381597; !!!FAIL
j; 1000; i; -1.2750000000000026; temp; -0.2500751154352032; !!!FAIL
j; 1000; i; -1.2500000000000027; temp; -0.25007512461496634; !!!FAIL
